cat,caption,label,caption_small,original_caption,self_written_caption
helicopter,a photo of helicopter flying over a field with trees in the background; a photo of helicopter sculpture on a black background with a black background; a photo of helicopter on a dock with people standing on it; a photo of helicopter parked on the side of the road; a photo of helicopter on runway with trees in background; a photo of helicopter flying over a mountain with trees in the background; a photo of helicopter with a camera attached to it in a field; a photo of helicopter on the ground with people walking around; a photo of helicopter parked on tarmac in front of building; a photo of helicopter with a blue and white design on it; a photo of helicopter landing on a rocky beach with people standing around; a photo of helicopter on fire with flames in the background; a photo of helicopter flying over a grassy hill with a house; a photo of helicopter on the tarmac with a man standing next to it; a photo of helicopter flying in the sky with people inside; a photo of helicopter with people on top of it in the snow; a photo of helicopter in flight with shadow on ground; a photo of helicopter flying over a mountain with a clear sky; a photo of helicopter on the tarmac with two people standing beside it; a photo of helicopter on the ground with people sitting on the ground; ,97,"A photo of helicopter flying over a field with trees in the background. A photo of a helicopter with a camera attached to it in a field. A helicopter on a dock with people standing on it; a photo of helicopters parked on the side of the road. Overall, this is a photo of helicopter",a photo of helicopter,"a photo of a helicopter, a type of flying vehicle"
ibis,a photo of ibis standing on a rock in a garden; a photo of ibis walking along the beach with a fish in their beak; a photo of ibis are standing on a rock in the water; a photo of ibis are walking through the grass and leaves; a photo of ibis walking in a field with a tree in the background; a photo of ibis are walking around in the grass near a road; a photo of ibis are walking in the shallow water; a photo of ibis are standing in shallow water with long beaks; a photo of ibis are walking in a grassy field; a photo of ibis are standing on a tree branch in the sun; a photo of ibis are standing in the grass near a dirt road; a photo of ibis are standing on a leaf in a forest; a photo of ibis are standing on a branch in the wild; a photo of ibis are walking along the beach in the surf; a photo of ibis are standing on a branch in a tree; a photo of ibis are standing on a rock in a zoo; a photo of ibis are standing on a branch in a forest; a photo of ibis are standing in a grassy field with a worm in its beak; a photo of ibis are standing in the grass and looking for food; a photo of ibis are standing on a leaf in the dark; ,98,"Photo of ibis are standing on a rock in a garden; a photo of ibes walking along the beach with a fish in their beak;  a photo of  ibis standing in a grassy field with a worm in its beak. A photo  of ib Overall, this is a photo of ibis",a photo of ibis,"a photo of a ibis, a type of animal lives near water"
inline_skate,a photo of inline skates with wheels and a red color; a photo of inline skates and poles on a white background; a photo of inline skates with wheels and wheels; a photo of inline skates with wheels and wheels on a white background; a photo of inline skates with wheels and wheels on a white background; a photo of inline skates being held by a person; a photo of inline skates with a motor and a rope; a photo of inline skates with wheels and a ski bindinger; a photo of inline skates with wheels and wheels on a white background; a photo of inline skates on a stand in a garage; a photo of inline skates with wheels and a black and grey color; a photo of inline skateboarder's feet and skateboard on the ground; a photo of inline skates with wheels and a skateboard; a photo of inline skates with wheels and a black shoe; a photo of inline skateboarder in camouflage pants and black boots; a photo of inline skates with wheels and a skateboard; a photo of inline skates and skateboarders are lined up on a rug; a photo of inline skates with wheels and a black and white image; a photo of inline skates with wheels and wheels on a white background; a photo of inline skates with wheels and a skateboard on a white background; ,99,"A photo of inline skates being held by a person. A photo of a motor and a rope; a photo of skates with wheels and a ski bindinger. A picture of inline skateboarders lined up on a rug. Overall, this is a photo of inline skate",a photo of inline skate,"a photo of a inline skate, a type of shoe with several wheels."
joshua_tree,a photo of joshua tree in the desert with a blue sky; a photo of joshua tree with a shooting comet in the sky; a photo of joshua tree in the desert with rocks and grass; a photo of joshua tree in the desert with a blue sky; a photo of joshua tree in the desert with a sky background; a photo of joshua tree in the desert with mountains in the background; a photo of joshua tree in the desert with a dirt road; a photo of joshua tree in the desert with a blue sky; a photo of joshua tree silhouetted against a sunset sky; a photo of joshua tree silhouetted against a sunset sky; a photo of joshua tree in the desert with mountains in the background; a photo of joshua tree in the desert with a sky background; a photo of joshua tree in the desert with mountains in the background; a photo of joshua tree in death valley at sunset; a photo of joshua tree in the desert with mountains in the background; a photo of joshua tree in the desert with rocks in the background; a photo of joshua tree in the desert with blue sky; a photo of joshua tree forest in black and white; a photo of joshua tree silhouetted against a sunset sky; a photo of joshua tree in black and white with a mountain in the background; ,100,"A photo of joshua tree silhouetted against a sunset sky. A photo of a shooting comet in the sky; a photo of the desert with rocks and grass. a photo  of josua tree forest in black and white. Overall, this is a photo of joshua tree",a photo of joshua tree,"a photo of a joshua tree, a type of plant"
ketch,"a photo of ketchup sailing in the open ocean; a photo of ketchup of a sailboat with red, white and blue sails; a photo of ketchup of a sailing ship in the ocean; a photo of ketchup of a sailboat in the ocean; a photo of ketchup sailing in the ocean with a flag on it; a photo of ketchup of a sailboat in the ocean; a photo of ketchup sailing in the ocean with a blue frame; a photo of ketch sailboat sailing in the ocean near a mountain; a photo of ketchup of a sailboat in the ocean; a photo of ketchup of sailboats in the water; a photo of ketchup sailboats in a lake with trees in the background; a photo of ketchup sailboat with colorful sails on a lake; a photo of ketch sailing in the open ocean with people on board; a photo of ketchup model of a sailboat on a rock; a photo of ketchup boat in the water with a red sail; a photo of ketchup sailing on a lake with trees in the background; a photo of ketchup of a sailboat in the ocean; a photo of ketchup sailing in the open ocean; a photo of ketchup sailing in the ocean under a cloudy sky; a photo of ketchup of a sailboat in the water; ",101,"A photo of ketchup sailing in the open ocean. A photo of a ketchup sailboat with red, white and blue sails. A ketchup model of a sailboat on a rock. A picture of a sailing ship in the ocean. Overall, this is a photo of ketch",a photo of ketch,"a photo of a ketch, a type of ship on the water"
lamp,"a photo of lamp with black shade and wooden base; a photo of lamp with a white shade on a table; a photo of lamp on a desk with a black cat sitting on it; a photo of lamp on a table in a room with a wooden floor; a photo of lamp with a flower in a vase on a table; a photo of lamp on a table with a picture of a man; a photo of lamp and two cats on a couch in a room; a photo of lamp with a black shade on a table; a photo of lamp on a table in a room; a photo of lamp on a table in a living room; a photo of lamp with a flower design on the base; a photo of lamp on a table with a white shade; a photo of lamp on a table in a room with a painting on the wall; a photo of lamp with a white shade and a butterfly on top; a photo of lamp, vase, and other items on a table; a photo of lamp with a white light on it in the dark; a photo of lamp and a baseball mitt on a table; a photo of lamp with a dragonfly shade on a table; a photo of lamp with a bird on top of it; a photo of lamp with a lady holding a umbrella on a table; ",102,"A photo of lamp on a desk with a black cat sitting on it. A photo of a lamp with a flower in a vase on a table. A picture of lamp and two cats on a couch in a room. a photo of Lamp with a white shade and a butterfly on Overall, this is a photo of lamp",a photo of lamp,a photo of a lamp
laptop,a photo of laptop computer sitting on top of a wooden desk; a photo of laptop computer with a black screen and a mouse; a photo of laptop computer with cd in front of it; a photo of laptop computer in case with instructions for the contents; a photo of laptop computer sitting on top of a pile of books; a photo of laptop computer sitting on a desk with a sound wave on the screen; a photo of laptop computer sitting on a desk with brick wall in background; a photo of laptop and cell phone sitting on a table; a photo of laptop computer with a quickmail email with style; a photo of laptop computer with a camera on top of it; a photo of laptop computer sitting on a table in a room; a photo of laptop computer with a webpage on the screen; a photo of laptop computer with business now isp on screen; a photo of laptop computer with a webpage on the screen; a photo of laptop computer with a green screen on top of it; a photo of laptop with a bar code on the screen; a photo of laptop computer sitting on top of a desk; a photo of laptop computer with a game on screen sitting on a glass table; a photo of laptop computer with windows 98 logo on screen; a photo of laptop computer sitting on a table in a dark room; ,103,"A photo of laptop computer sitting on top of a pile of books. A photo of a laptop computer with a webpage on the screen. A picture of laptop with business now isp on screen. Overall, this is a photo of laptop",a photo of laptop,"a photo of a laptop, also a type of computer"
lobster,"a photo of lobster on a white background with a black border; a photo of lobster with a long tail and a large body; a photo of lobster, corn, and shellfish on a plate; a photo of lobster on a white background; a photo of lobster on a blue background with a shadow; a photo of lobster on a red background with a black background; a photo of lobster on a plate with lettuce, tomatoes, and olives; a photo of lobster and oysters on ice with a person holding a knife; a photo of lobster with a black bow tie on a white background; a photo of lobster and broccoli on a plate with a gold flower; a photo of lobster on a plate with lemon wedges and a lemon wedge; a photo of lobster on a white background; a photo of lobster on a plate with a fork and knife; a photo of lobster on a blue background with a shadow; a photo of lobsters and vegetables on a plate with sauce; a photo of lobster with long legs and claws on a white background; a photo of lobster with a long tail on a black background; a photo of lobster with a knife stuck in it; a photo of lobster sculpture in front of a building with a clock tower; a photo of lobster and rice on a plate with a glass of wine; ",104,"A photo of lobster on a red background with a black background; a photo of lobsters on a plate with lettuce, tomatoes, and olives;  lobster and oysters on ice with a person holding a knife. A photo of a lobster sculpture in front of a building with a Overall, this is a photo of lobster",a photo of lobster,"a photo of a lobster, a type of arthropod, usually with red color"
lotus,a photo of lotus flower painting on canvas with green leaves; a photo of lotus flower with green leaves in the background; a photo of lotus flowers in a pond of water lilies; a photo of lotus flower with green leaves in the foreground; a photo of lotus flower with leaves in the background; a photo of lotus flower with green center surrounded by leaves; a photo of lotus flower with water and leaves in a vase; a photo of lotus flower in a pond of water lilies; a photo of lotus flower with green leaves in front of a black background; a photo of lotus flower with yellow center on black background; a photo of lotus flower in a pond with green leaves; a photo of lotus flowers blooming in a field of green leaves; a photo of lotus flower with yellow background and a white background; a photo of lotus flower painting on canvas with green leaves; a photo of lotus flowers and leaves in a pond of water; a photo of lotus flower with a bee on it; a photo of lotus flower with yellow stamen and white petals; a photo of lotus flower in the dark with a black background; a photo of lotus flower with green leaves in the background; a photo of lotus flower with yellow center surrounded by green leaves; ,105,"A photo of lotus flowers in a pond of water lilies. a photo of a lotus flower painting on canvas with green leaves. A photo of lotsus flowers with a bee on it. Overall, this is a photo of lotus",a photo of lotus,"a photo of a lotus, a type of flower"
mandolin,a photo of mandolins are sitting on a white surface; a photo of mandolin with a red string and a white string; a photo of mandolin player in a room with a guitar; a photo of mandolin sitting on a rock near a brick wall; a photo of mandolin hanging on a wall in a room; a photo of mandolin guitar sitting on a brown cloth; a photo of mandolin with a skull and crossbone design on it; a photo of mandolin guitar with a wooden body and a wooden neck; a photo of mandolin sitting on a wooden surface next to a bush; a photo of mandolin sitting on a window sill in a circle; a photo of mandolin sitting on a carpeted floor with a guitar in the background; a photo of mandolin instrument with a string and a string; a photo of mandolin guitar in case on white background with black and white background; a photo of mandolin mandolin with a guitar in the background; a photo of mandolin and banjo sit on a wall; a photo of mandolin sitting on a stand in a room; a photo of mandolin and guitar on a black background; a photo of mandolin mandolin sitting on the floor with a brown background; a photo of mandolin player in a tie playing a guitar; a photo of mandolin guitar with a clock face on it; ,106,"Photo of mandolins are sitting on a white surface; a photo of mandolin with a red string and a white string. A photo of  mandolin player in a room with a guitar. Overall, this is a photo of mandolin",a photo of mandolin,"a photo of a mandolin, a type of musical instrument"
mayfly,a photo of mayfly on a leaf with a blurry background; a photo of mayfly on a stem; a photo of mayfly on a leaf; a photo of mayfly and a mosquito on a white background; a photo of mayfly on a rock with three different measurements; a photo of mayfly on a black surface; a photo of mayflys and a fly on a white background; a photo of mayfly on a white surface; a photo of mayfly drawing by person; a photo of mayfly drawing by person; a photo of mayfly on a leaf with a blue background; a photo of mayfly on a white surface; a photo of mayfly on a flower stem with a dark background; a photo of mayfly on a rock; a photo of mayfly drawing in black and white; a photo of mayfly on a leaf with a small insect on it; a photo of mayfly on a branch with a green background; a photo of mayfly on a leaf; a photo of mayfly on a blade of grass; a photo of mayfly on a flower stem with a black background; ,107,"A photo of mayfly on a leaf with a blurry background. A photo of a fly on a rock with three different measurements. A picture of mayflies on a flower stem with a dark background. Overall, this is a photo of mayfly",a photo of mayfly,"a photo of a mayfly, a type of flying insect"
menorah,a photo of menorah with candles on it in a gold frame; a photo of menorah with candles on a table with a pattern; a photo of menorah with candles on it and a blue background; a photo of menorah with candles on it in front of a brick wall; a photo of menorah with candles and a box of presents; a photo of menorah with candles on it; a photo of menorah with candles on a pedestal in a room; a photo of menorah with candles on it on a white background; a photo of menorah with candles on a stand on a table; a photo of menorah with candles on a stand with a white background; a photo of menorah with candles and stars of david; a photo of menorah with candles on it; a photo of menorah on a stone wall with a bird on it; a photo of menorah with a golden color on a white background; a photo of menorah with candles lit on it; a photo of menorah with candles and a bowl of fruit; a photo of menorah with five candles on it; a photo of menorah with five candles and a bird on it; a photo of menorah with candles and a cross on it; a photo of menorah with five candles on a mantle; ,108,"A photo of menorah on a stone wall with a bird on it; a photo ofMenorah with a golden color on a white background. A photo of Menorah with candles on a pedestal in a room;  a photo of menorah with candles on it Overall, this is a photo of menorah",a photo of menorah,"a photo of a menorah, a type of U-shaped furniture, usually with candles on it"
metronome,a photo of metronome with wooden case and wooden stand; a photo of metronome with sound click color and description; a photo of metronome with a keychain and a triangle shaped key; a photo of metronome trading systems; a photo of metronome with a note on it and a note on the back; a photo of metronome with a stick and a piece of paper; a photo of metronome with a wooden case and a metal stick; a photo of metronome with a wooden case and a metal handle; a photo of metronome with a wooden case and a metal ruler; a photo of metronome with a ruler and a ruler on it; a photo of metronome with a wooden case and a metal handle; a photo of metronome with a pair of scissors in it; a photo of metronome with a stick and a piece of paper; a photo of metronome with a wooden body and a metal handle; a photo of metronome with a wooden case and a ruler; a photo of metronome with a staff and a piano; a photo of metronome with a wooden case and a metal bar; a photo of metronome on a wooden table with a ruler; a photo of metronome with a triangle shaped base and a wooden case; a photo of metronome with a wooden body and a wooden case; ,109,"A photo of metronome with a stick and a piece of paper. A photo of a wooden case and a metal stick. A picture of a ruler and a ruler with a pair of scissors in it. Overall, this is a photo of metronome",a photo of metronome,"a photo of a metronome, a type of musical instrument"
minaret,a photo of minarets of a mosque in the middle of a blue sky; a photo of minaret with mosaic tiles and a tree in the background; a photo of minaret of a building with a blue sky in the background; a photo of minarets of a mosque against a blue sky; a photo of minaret of a building with a clock on top; a photo of minaret of a building with a clock on it; a photo of minaret of a mosque with a clock tower; a photo of minaret of a building with a clock tower in the background; a photo of minaret toothbrush with yellow handle on a black background; a photo of minaret of a building with a clock tower in the background; a photo of minarets and a lighthouse in a city; a photo of minarets of a building with a blue sky in the background; a photo of minaret of a building with a clock on it; a photo of minaret of a building with a clock on it; a photo of minaret of a street light with a sky background; a photo of minarets and a clock tower in a city; a photo of minarets and a clock tower in the distance; a photo of minaret of a building with a clock tower in the background; a photo of minaret with a clock on top of it; a photo of minaret of a church with a clock on it; ,110,"A photo of minarets of a mosque in the middle of a blue sky. A photo of a building with a clock tower in the background. A picture of a minaret toothbrush with yellow handle on a black background. Overall, this is a photo of minaret",a photo of minaret,"a photo of a minaret, a type of building, usually with one or two columns"
nautilus,a photo of nautilus on the ocean floor with a white and red stripe; a photo of nautilusus is a shell with a spiral shell; a photo of nautilushes in a glass case with a black background; a photo of nautilush on a black background; a photo of nautilusus shaped glass sculpture on a table; a photo of nautilusive object in the shape of a doughnut; a photo of nautilusis in the water with a black background; a photo of nautilusus shell on a blue background; a photo of nautilusus shells on a white background; a photo of nautilus shell on a white background; a photo of nautilusus shell in black and white with a black background; a photo of nautilus shell on a white background; a photo of nautilus studies logo; a photo of nautilus on a black background with a white border; a photo of nautilush shell on a white background; a photo of nautilus on a black background with a black background; a photo of nautilusus shell with a red and white stripe; a photo of nautilus on a black background with a black background; a photo of nautilusus fossil with a spiral design; a photo of nautilus is shown in a black frame; ,111,"A photo of nautilus on the ocean floor with a white and red stripe. A photo of a nautilusive object in the shape of a doughnut. a photo of  a shell with a spiral shell. Overall, this is a photo of nautilus",a photo of nautilus,"a photo of a nautilus, a type of shell from ocean animals"
octopus,a photo of octopus with a red and white tentacles on its head; a photo of octopus with a long tail and a long tail; a photo of octopus with tentacles crawling around it's head; a photo of octopus with a cell phone in its hand; a photo of octopus statue in front of a building with a green lawn; a photo of octopus sculpture with a pair of scissors on it; a photo of octopus on a rock in a tank; a photo of octopus drawing by lee siggert; a photo of octopus kite flying in the sky over a field; a photo of octopus with a ball on its head; a photo of octopus with a spiral head on its head; a photo of octopus drawing on a tile with a white background; a photo of octopus on a white background with a yellow background; a photo of octopus drawing on a gray background; a photo of octopus with a long tentacles and a yellow head; a photo of octopus made of paper on a table; a photo of octopus with a ruler in front of it; a photo of octopus with a light on its head; a photo of octopus sculpture made of metal wire and wood; a photo of octopus with a long tail and a long tail; ,112,"A photo of octopus with tentacles crawling around it's head; a photo ofOctopus with a cell phone in its hand. A photo ofoctopus statue in front of a building with a green lawn. A picture of octopuses on a rock in a tank. Overall, this is a photo of octopus",a photo of octopus,"a photo of a octopus, a type of animal with many tentacles"
okapi,a photo of okapi standing in the grass next to a toy car; a photo of okapi standing in a fenced in area; a photo of okapi in a zoo enclosure looking through a fence; a photo of okapi standing in the shade of a tree; a photo of okapi standing in a forest with trees; a photo of okapi painted on a wall with flowers; a photo of okapi standing next to a wooden fence; a photo of okapi walking in the grass next to a building; a photo of okapi standing in a field with a white background; a photo of okapi standing in the woods with its legs crossed; a photo of okapi standing in a field with bare trees; a photo of okapi standing next to a tree in a zoo; a photo of okapi standing in a forest with trees; a photo of okapi standing in front of a rock wall; a photo of okapi painted in watercolor on a white background; a photo of okapi standing in a zoo enclosure eating leaves; a photo of okapi standing in a grassy field next to a tree; a photo of okapi calf standing in a grassy field; a photo of okapi standing next to each other in a forest; a photo of okapi walking in front of a stone wall; ,113,"A photo of okapi standing in the grass next to a toy car. A photo of  okapi in a zoo enclosure looking through a fence. a photo of okapi painted on a wall with flowers.  A photo of okapi painted in watercolor on a white Overall, this is a photo of okapi",a photo of okapi,"a photo of a okapi, a type of animal"
pagoda,a photo of pagoda in the middle of a park with trees; a photo of pagoda in the middle of a city with a clock on top; a photo of pagoda in the middle of a park with people watching; a photo of pagoda in the middle of a park with trees and bushes; a photo of pagodas and trees in a park with a sky background; a photo of pagoda in the middle of a park with trees; a photo of pagoda in the middle of a park with people walking around; a photo of pagodas in a city with scaffolding around them; a photo of pagoda in the middle of a park with a tree in the background; a photo of pagoda tower with a clock on top of it; a photo of pagoda in the middle of a park with a tree in the background; a photo of pagoda in the middle of a city with a red car; a photo of pagoda in the middle of a park with a person walking by; a photo of pagodas in a park with purple flowers; a photo of pagoda in the middle of a city with a clock on top; a photo of pagoda in the middle of a park with a clock on it; a photo of pagoda in a park with people walking around; a photo of pagoda in the middle of a park with a tree in the background; a photo of pagodas in a city with a cloudy sky; a photo of pagoda in the middle of a city with a clock on top; ,114,"A photo of a pagoda in the middle of a city with a clock on top. A photo of pagodas and trees in a park with a sky background; a photo of Pagodas in a parks with trees and bushes. Overall, this is a photo of pagoda",a photo of pagoda,"a photo of a pagoda, a type of buildings usually seen in East Asia"
platypus,"a photo of platypus swimming in a pond with rocks and water; a photo of platypus with a flower in the background; a photo of platypus in a tree with a fish in its mouth; a photo of platypus with a platypus in its mouth; a photo of platypus swimming in the water with its head above the water; a photo of platypus stuffed animal laying on the ground; a photo of platypus with a hat on its head; a photo of platypus in shallow water with ripples; a photo of platypus swimming in a pond with rocks and gravel; a photo of platypus is a bird with a long neck; a photo of platypus stuffed animal laying down on a white background; a photo of platypus on the ground with rocks and leaves; a photo of platypus with a blue object in its mouth; a photo of platypus in a frame with a purple background; a photo of platypus play sticker with a picture of a platypus; a photo of platypus typewriter's wordpresser, volume 12; a photo of platypus stuffed animal laying on a white surface; a photo of platypus with a long beak and a long nose; a photo of platypus stuffed animal laying on a white surface; a photo of platypus on a piece of paper; ",115,"A photo of platypus is a bird with a long neck. A photo of a fish is in a tree with a fish in its mouth. A picture of a stuffed animal is on a white surface. Overall, this is a photo of platypus",a photo of platypus,"a photo of a platypus, a type of animals, some are pictures."
pyramid,a photo of pyramid of food with a teddy bear in the background; a photo of pyramid in the desert with a blue sky; a photo of pyramid with a blue triangle on it; a photo of pyramids in a field with people standing around; a photo of pyramid shaped amethorate with a purple base; a photo of pyramids in the distance with a truck driving by; a photo of pyramid shaped object on a sheet of paper; a photo of pyramids in the distance with a camel in the foreground; a photo of pyramids in the desert with people riding horses; a photo of pyramid with a square in the middle of it; a photo of pyramid of rocks in a field with trees in the background; a photo of pyramids in the desert with a person riding a horse; a photo of pyramid of giza in egypt; a photo of pyramids with numbers on them in a desert; a photo of pyramids and a stone wall in a desert; a photo of pyramid with information about the information pyramid; a photo of pyramids in the desert with a clear blue sky; a photo of pyramids and a camel in the desert; a photo of pyramids in the desert with a city in the background; a photo of pyramids in the desert with a cloudy sky; ,116,"A photo of pyramid of food with a teddy bear in the background. A photo of pyramids in a field with people standing around. A picture of pyramid shaped amethorate with a purple base. a photo of a pyramid with a blue triangle on it. Overall, this is a photo of pyramid",a photo of pyramid,"a photo of a pyramid, with triangular shape, some are pictures"
revolver,"a photo of revolver with a red handle on a wooden table; a photo of revolver with a black handle on a gray background; a photo of revolver, ammo and ammo cartridges on a table; a photo of revolver on a book with a leather cover; a photo of revolver with a caption of a gun with a caption of a gun with; a photo of revolver with gold and black paint on it; a photo of revolvers and magazines on a wooden table; a photo of revolver with wooden handle on a blue sheet; a photo of revolver with a wooden grip on a white background; a photo of revolver, holster and other items on a white surface; a photo of revolver with a wooden handle on a red background; a photo of revolver with wooden grips and a wooden handle; a photo of revolver with a wooden grip on a white background; a photo of revolver with a wooden barrel on a black background; a photo of revolver with a red handle on a wooden surface; a photo of revolver with a gun in the foreground and a coin in the foreground; a photo of revolver with a wooden handle and a metal barrel; a photo of revolver drawn in a pen on a white background; a photo of revolver with a black barrel and a white background; a photo of revolver on a green surface with a black handle; ",117,"A photo of revolver with a red handle on a wooden table. A photo of a revolver on a book with a leather cover. A picture of a gun with gold and black paint on it; a photo of revolvers and magazines. Overall, this is a photo of revolver",a photo of revolver,"a photo of a revolver, a type of gun and weapon"
rhino,a photo of rhino walking in the wild with trees in the background; a photo of rhinoceros are standing on a blue background; a photo of rhino statue on a black background with a green background; a photo of rhino statue on a table with a black background; a photo of rhino standing on a hill near a river; a photo of rhino grazing in a field with birds on the ground; a photo of rhino standing in the dark with its head turned; a photo of rhino statue on a rock on a white background; a photo of rhinos grazing in a grassy field with trees in the background; a photo of rhino walking in a zoo enclosure with a rock wall; a photo of rhino grazing in a field with other animals in the background; a photo of rhino standing in a field with trees in the background; a photo of rhinos grazing near a body of water; a photo of rhinocers are standing in the dark with their horns spread; a photo of rhino standing in a field with trees in the background; a photo of rhino standing in a field with trees in the background; a photo of rhino in the wild with tall grass and trees; a photo of rhinos in a zoo enclosure eating grass; a photo of rhino standing in the dirt with a white background; a photo of rhino figurine on a white surface with a gray background; ,118,"A photo of rhino standing in the dark with its head turned. A photo of a rhino statue on a rock on a white background. rhinos grazing in a field with birds on the ground. Overall, this is a photo of rhino",a photo of rhino,"a photo of a rhino, a type of animal"
rooster,a photo of rooster standing on a rock with a white background; a photo of rooster standing on grass with a cloudy sky in the background; a photo of rooster painting on a black background; a photo of rooster standing on a white surface with a gray background; a photo of rooster standing in grass with trees in the background; a photo of rooster standing on a rock in a field; a photo of rooster with a red tail and blue tail; a photo of rooster standing on a rock in a field; a photo of rooster standing in grass with a red crest; a photo of rooster and corn on a green background; a photo of rooster with a red head and black tail; a photo of rooster painting on canvas with yellow background; a photo of rooster cross stitch pattern; a photo of rooster standing in grass with other chickens in the background; a photo of rooster on a white background with a ring on its neck; a photo of rooster standing on grass with sky in background; a photo of rooster painted on a yellow and white plate; a photo of rooster and hen in a field with flowers; a photo of rooster with a red head and blue tail; a photo of rooster with red tail and yellow body; ,119,"A photo of a rooster standing on a rock with a white background. A photo of rooster with a red head and blue tail; a photo of  rooster and hen in a field with flowers. Overall, this is a photo of rooster",a photo of rooster,"a photo of a rooster, a type of animal, some are paintings."
saxophone,a photo of saxophone on a black cloth with a black background; a photo of saxophone player on sidewalk with crowd in background; a photo of saxophone with a silver body and a silver bell; a photo of saxophone with a gold body and a black neck; a photo of saxophone on a white background with a black cord; a photo of saxophone with a gold body and a black neck; a photo of saxophone player laying on the ground with his head down; a photo of saxophone player in red cloth with red background; a photo of saxophone being held by a person with a ring; a photo of saxophone in a case on a black surface; a photo of saxophone player in tuxedo with band in background; a photo of saxophone on a white background with a white background; a photo of saxophone on a stand in a room; a photo of saxophone player sitting on a red couch with his feet up; a photo of saxophone with a silver body and a black neck; a photo of saxophone with a note and a notepad with a notepad attached to it; a photo of saxophone with a note attached to it; a photo of saxophone with a gold tone and a purple background; a photo of saxophone on a map of the united states; a photo of saxophones are shown on a white surface; ,120,"A photo of saxophone on a black cloth with a black background. A photo of a saxophone with a silver body and a silver bell; a photo of the saxophone being held by a person with a ring. A picture of saxophones on a map of the united states Overall, this is a photo of saxophone",a photo of saxophone,"a photo of a saxophone, a type of instruments"
schooner,a photo of schooner boat sailing in open water with trees in background; a photo of schooner boat in open water with white sails; a photo of schooner boat with red sails in calm water; a photo of schooner boat with white sails in open ocean; a photo of schooner boat in open water with sails down; a photo of schooner boat with people on deck sailing in open ocean; a photo of schooner boat with canadian flag on sail in open water; a photo of schooner boat sailing on calm water with trees in background; a photo of schooner ship in open water with american flag; a photo of schooner boat sailing in open ocean at sunset; a photo of schooner boat with sails on a body of water; a photo of schooner ship sailing in open ocean with clouds in background; a photo of schooner boat sailing on calm water with clouds in the background; a photo of schooner boat with white sails in the water; a photo of schooner ship with sails and masts on a body of water; a photo of schooner boat with white sails in open ocean; a photo of schooner boat in the water with a sail; a photo of schooner boat with sails in open water; a photo of schooner boat in open water with sails down; a photo of schooners sail in the ocean with a city in the background; ,121,"A photo of a schooner boat sailing on calm water with trees in background. A photo of schooners sail in the ocean with a city in the background;  a photo of  schooner ship with sails and masts in open ocean. Overall, this is a photo of schooner",a photo of schooner,"a photo of a schooner, a tyoe of ship"
scissors,"a photo of scissors are shown on a white background; a photo of scissors are sitting on a table with a white background; a photo of scissors and a pair of scissors are on a white surface; a photo of scissors on a black cloth with a silver handle; a photo of scissors labeled in different parts of a package; a photo of scissors and a pair of scissors on a white surface; a photo of scissors and a pair of scissors on a black background; a photo of scissors and combs are lined up on a table; a photo of scissors on a white surface with a black handle; a photo of scissors on a yellow background with a black handle; a photo of scissors are shown on a white background; a photo of scissors and screws on a burlock cloth; a photo of scissors are shown in a black and white drawing; a photo of scissors are lined up on a table; a photo of scissors on a white surface with a black handle; a photo of scissors are shown in three different positions; a photo of scissors on a white surface with a black handle; a photo of scissors on a white surface with a yellow handle; a photo of scissors are shown on a white background; a photo of scissors, a mesh bag, and a pair of scissors; ",122,"A photo of scissors are shown in three different positions. A photo of a pair of scissors is shown on a table with a white background. scissors are labeled in parts of a package. Overall, this is a photo of scissors",a photo of scissors,"a photo of a scissors, a type of tool"
scorpion,a photo of scorpion with a skeleton on its back; a photo of scorpion on a leaf with a brown background; a photo of scorpion crawling on a tree trunk; a photo of scorpion with a long tail and a long tail; a photo of scorpion on the ground with a long tail; a photo of scorpion on a white sheet with a person's hand; a photo of scorpion with a bug in its mouth on the ground; a photo of scorpion on the ground with a black background; a photo of scorpion on a piece of wood; a photo of scorpion on the ground with its claws spread out; a photo of scorpion on the ground with a leaf in its mouth; a photo of scorpion on the ground with a yellow stinger; a photo of scorpion on the ground with its claws spread out; a photo of scorpion on the ground with a scorpion in its mouth; a photo of scorpion on the ground with a long tail; a photo of scorpion on a rock with a long tail; a photo of scorpion on a blue surface with a blue background; a photo of scorpion on a white background; a photo of scorpion with a black body and a black tail; a photo of scorpion on a white background; ,123,"A photo of scorpion with a skeleton on its back; a photo of. scorpion on a leaf with a brown background; a. photo of Scorpionion crawling on a tree trunk;  a photo. of scorpions on a white sheet with a person's hand on the ground Overall, this is a photo of scorpion",a photo of scorpion,"a photo of a scorpion, a type of arthropod"
